2052.211745	33.24	18	22	2150.7103	9296716	ElecStateLabel=X;v=2;J=4	ElecStateLabel=X;v=1;J=5	27	5	2	4	1078
2052.621743	35.87	10	6	4170.4296	9296720	ElecStateLabel=X;v=3;J=2	ElecStateLabel=X;v=2;J=1	27	5	2	4	1078
2053.861869	15.73	42	46	242.5148	9296722	ElecStateLabel=X;v=1;J=10	ElecStateLabel=X;v=0;J=11	27	5	2	4	1078
2055.984465	34.39	14	18	2132.4969	9296733	ElecStateLabel=X;v=2;J=3	ElecStateLabel=X;v=1;J=4	27	5	2	4	1078
2056.133695	38.63	14	10	4177.6505	9296735	ElecStateLabel=X;v=3;J=3	ElecStateLabel=X;v=2;J=2	27	5	2	4	1078
2057.857576	15.9	38	42	202.1092	9296741	ElecStateLabel=X;v=1;J=9	ElecStateLabel=X;v=0;J=10	27	5	2	4	1078
2059.612531	40.28	18	14	4188.4814	9296747	ElecStateLabel=X;v=3;J=4	ElecStateLabel=X;v=2;J=3	27	5	2	4	1078
2059.725008	36.31	10	14	2117.9255	9296748	ElecStateLabel=X;v=2;J=2	ElecStateLabel=X;v=1;J=3	27	5	2	4	1078
2061.821909	16.08	34	38	165.3722	9296757	ElecStateLabel=X;v=1;J=8	ElecStateLabel=X;v=0;J=9	27	5	2	4	1078
2063.058119	41.41	22	18	4202.922	9296761	ElecStateLabel=X;v=3;J=5	ElecStateLabel=X;v=2;J=4	27	5	2	4	1078
2063.433239	40.56	6	10	2106.9964	9296764	ElecStateLabel=X;v=2;J=1	ElecStateLabel=X;v=1;J=2	27	5	2	4	1078
2065.754733	16.3	30	34	132.305	9296773	ElecStateLabel=X;v=1;J=7	ElecStateLabel=X;v=0;J=8	27	5	2	4	1078
2066.470323	42.26	26	22	4220.9718	9296776	ElecStateLabel=X;v=3;J=6	ElecStateLabel=X;v=2;J=5	27	5	2	4	1078
2067.109024	61.18	2	6	2099.7101	9296777	ElecStateLabel=X;v=2;J=0	ElecStateLabel=X;v=1;J=1	27	5	2	4	1078
2069.655913	16.55	26	30	102.9089	9296788	ElecStateLabel=X;v=1;J=6	ElecStateLabel=X;v=0;J=7	27	5	2	4	1078
2069.849011	42.94	30	26	4242.63	9296790	ElecStateLabel=X;v=3;J=7	ElecStateLabel=X;v=2;J=6	27	5	2	4	1078
2073.194046	43.52	34	30	4267.8959	9296801	ElecStateLabel=X;v=3;J=8	ElecStateLabel=X;v=2;J=7	27	5	2	4	1078
2073.525317	16.86	22	26	77.185	9296805	ElecStateLabel=X;v=1;J=5	ElecStateLabel=X;v=0;J=6	27	5	2	4	1078
2074.362719	20.62	6	2	2096.0669	9296810	ElecStateLabel=X;v=2;J=1	ElecStateLabel=X;v=1;J=0	27	5	2	4	1078
2076.505297	44.03	38	34	4296.7686	9296816	ElecStateLabel=X;v=3;J=9	ElecStateLabel=X;v=2;J=8	27	5	2	4	1078
2077.36281	17.27	18	22	55.1341	9296822	ElecStateLabel=X;v=1;J=4	ElecStateLabel=X;v=0;J=5	27	5	2	4	1078
2077.94036	24.87	10	6	2099.7101	9296826	ElecStateLabel=X;v=2;J=2	ElecStateLabel=X;v=1;J=1	27	5	2	4	1078
2079.782628	44.48	42	38	4329.2469	9296833	ElecStateLabel=X;v=3;J=10	ElecStateLabel=X;v=2;J=9	27	5	2	4	1078
2081.168256	17.87	14	18	36.7572	9296838	ElecStateLabel=X;v=1;J=3	ElecStateLabel=X;v=0;J=4	27	5	2	4	1078
2081.485018	26.78	14	10	2106.9964	9296841	ElecStateLabel=X;v=2;J=3	ElecStateLabel=X;v=1;J=2	27	5	2	4	1078
