7.576119999999999521e+00 8.000000000000000000e+03 6.873849799999999640e-04
7.636599999999999611e+00 7.964247713480769562e+03 4.529945099999999883e-04
7.697089999999999321e+00 8.176179579181574809e+03 4.407514399999999991e-04
7.757569999999999411e+00 8.244094463181476385e+03 4.778408299999999825e-04
7.818050000000000388e+00 8.281154771659008475e+03 9.565228799999999677e-04
7.878539999999999210e+00 8.468282212324664215e+03 4.933248299999999989e-04
7.939019999999999300e+00 8.510469527734672738e+03 6.024510900000000155e-04
7.999510000000000787e+00 8.579176753093486695e+03 5.673255099999999478e-04
8.059989999999999100e+00 8.700016965860353594e+03 3.357524999999999876e-04
8.120469999999999189e+00 8.699751283702395085e+03 3.897363199999999786e-04
8.180960000000000676e+00 8.769162394258913992e+03 4.358326799999999771e-04
8.241439999999998989e+00 8.926453446279096170e+03 3.909425899999999991e-04
8.301919999999999078e+00 9.020583348778527579e+03 4.994193999999999977e-04
8.362410000000000565e+00 9.022942807092756993e+03 4.766872199999999866e-04
8.422889999999998878e+00 9.080705935059455442e+03 3.217681700000000252e-04
8.483369999999998967e+00 9.171346524306094580e+03 3.993143299999999882e-04
8.543860000000000454e+00 9.097311226768937559e+03 4.266457699999999780e-04
8.604339999999998767e+00 9.237622459928987155e+03 4.378235599999999840e-04
8.664830000000000254e+00 9.321791320388178065e+03 9.059578900000000079e-04
8.725310000000000343e+00 9.401056196363893832e+03 3.793363599999999996e-04
8.785789999999998656e+00 9.506407798037960674e+03 3.402606200000000145e-04
8.846280000000000143e+00 9.475807612397647972e+03 3.274176600000000049e-04
8.906760000000000232e+00 9.541041208220198314e+03 4.343651499999999759e-04
8.967239999999998545e+00 9.682933673680438005e+03 3.853816299999999920e-04
9.027730000000000032e+00 9.761430674895023913e+03 3.103157200000000227e-04
9.088210000000000122e+00 9.833010843447140360e+03 4.291735500000000035e-04
9.148690000000000211e+00 9.953294284277320912e+03 4.585180100000000041e-04
9.209179999999999922e+00 9.975648285442386623e+03 5.973091500000000205e-04
9.269660000000000011e+00 1.006638454535983874e+04 3.462733300000000059e-04
9.330149999999999721e+00 1.011617783593648528e+04 4.737753800000000094e-04
9.390629999999999811e+00 1.017855950474587371e+04 6.074558499999999821e-04
9.451109999999999900e+00 1.033949262941781490e+04 5.298958899999999753e-04
9.511599999999999611e+00 1.042049620220764882e+04 6.743619499999999479e-04
9.572079999999999700e+00 1.044091295070737397e+04 6.212579900000000065e-04
9.632559999999999789e+00 1.047764546950950171e+04 5.498285200000000176e-04
9.693049999999999500e+00 1.056760099401826847e+04 5.200625200000000455e-04
9.753529999999999589e+00 1.046468193677744966e+04 7.066632399999999694e-04
9.814010000000001455e+00 1.056726348043862345e+04 7.825938500000000119e-04
9.874499999999999389e+00 1.073821787262226644e+04 6.873233899999999516e-04
9.934979999999999478e+00 1.075995017126422317e+04 4.760792099999999944e-04
9.995469999999999189e+00 1.092358277722468847e+04 4.630063800000000182e-04
1.005599999999999916e+01 1.103810307958008161e+04 4.953660500000000308e-04
1.011640000000000050e+01 1.101191974218793075e+04 5.454073000000000254e-04
1.017689999999999984e+01 1.120117703155787422e+04 4.912343000000000005e-04
1.023739999999999917e+01 1.120771024051410677e+04 4.014561100000000075e-04
1.029790000000000028e+01 1.128211755580727186e+04 1.162028600000000050e-03
1.035839999999999961e+01 1.143904600030136316e+04 1.010603299999999994e-03
1.041879999999999917e+01 1.149233801436071735e+04 1.177416099999999957e-03
1.047930000000000028e+01 1.158365833588160967e+04 5.418962700000000497e-04
1.053979999999999961e+01 1.172083533513102884e+04 3.950577800000000094e-04
