# corrected data from A&A 675, A111 (2023), Gasman 2024 arXiv:2406.10835v1
5.000     0.25
5.300     0.25
6.153     0.28
6.922     0.31
8.075     0.33
9.485     0.36
10.83     0.41
12.56     0.53
14.48     0.58
16.79     0.65
19.29     0.71
22.30     0.81
26.14     0.94
28.0      1.0
